"Datum deponering";"Uitgevende instelling";"Boekjaar";"Soort"
"2026-05-02 11:29:05";"Ebusco Holding N.V.";"2025";"Jaarlijkse financiele verslaggeving"
"2026-05-01 17:09:38";"Arcona Property Fund N.V.";"2025";"Jaarlijkse financiele verslaggeving"
"2026-04-30 22:38:03";"Morefield Group N.V.";"2025";"Jaarlijkse financiele verslaggeving"
